欄位編號,表格名稱,表格中文名稱,欄位名稱,欄位中文名稱,欄位定義說明,資料當責單位,欄位資料型態,欄位類型,Primary Key,KDE關鍵指標,必填/非必填,Business_Group,Technical_Data
17,M_RF_SN,結構型商品資料檔,CMPY_ABBR_NAME,發行公司簡稱,發行公司簡稱,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;發行公司簡稱,fbsods;mdm_sec;MDM_SEC;M_RF_SN;CMPY_ABBR_NAME
18,M_RF_SN,結構型商品資料檔,CMPY_FULL_NAME,發行公司全稱,發行公司全稱,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;發行公司全稱,fbsods;mdm_sec;MDM_SEC;M_RF_SN;CMPY_FULL_NAME
19,M_RF_SN,結構型商品資料檔,CMPY_ENG_NAME,發行公司英文名,發行公司英文名,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;發行公司英文名,fbsods;mdm_sec;MDM_SEC;M_RF_SN;CMPY_ENG_NAME
20,M_RF_SN,結構型商品資料檔,EXCHG_CODE,交易所別,交易所別,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;交易所別,fbsods;mdm_sec;MDM_SEC;M_RF_SN;EXCHG_CODE
21,M_RF_SN,結構型商品資料檔,EXCHG_ABBR_NAME,交易所簡稱,交易所簡稱,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;交易所簡稱,fbsods;mdm_sec;MDM_SEC;M_RF_SN;EXCHG_ABBR_NAME
22,M_RF_SN,結構型商品資料檔,EXCHG_FULL_NAME,交易所全稱,交易所全稱,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;交易所全稱,fbsods;mdm_sec;MDM_SEC;M_RF_SN;EXCHG_FULL_NAME
23,M_RF_SN,結構型商品資料檔,COUNTRY_CODE,國別代碼,國別代碼,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;國別代碼,fbsods;mdm_sec;MDM_SEC;M_RF_SN;COUNTRY_CODE
24,M_RF_SN,結構型商品資料檔,COUNTRY_ABBR_NAME,國別簡稱,國別簡稱,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;國別簡稱,fbsods;mdm_sec;MDM_SEC;M_RF_SN;COUNTRY_ABBR_NAME
25,M_RF_SN,結構型商品資料檔,COUNTRY_FULL_NAME,國別全名,國別全名,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;國別全名,fbsods;mdm_sec;MDM_SEC;M_RF_SN;COUNTRY_FULL_NAME
26,M_RF_SN,結構型商品資料檔,CURRENCY_CODE,幣別,結構型商品成交金額之幣別,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;幣別,fbsods;mdm_sec;MDM_SEC;M_RF_SN;CURRENCY_CODE
27,M_RF_SN,結構型商品資料檔,CURRENCY_NAME,幣別名稱,結構型商品成交金額之幣別名稱,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;幣別名稱,fbsods;mdm_sec;MDM_SEC;M_RF_SN;CURRENCY_NAME
28,M_RF_SN,結構型商品資料檔,APPLY_FACE_VALUE,申購票面額,申購票面額,財管商品部,Num,數字,非PK,,,主數據庫;類別參照;結構型商品資料檔;申購票面額,fbsods;mdm_sec;MDM_SEC;M_RF_SN;APPLY_FACE_VALUE
29,M_RF_SN,結構型商品資料檔,ISSUE_DATE,發行日期,發行日期,財管商品部,DATE,日期,非PK,,,主數據庫;類別參照;結構型商品資料檔;發行日期,fbsods;mdm_sec;MDM_SEC;M_RF_SN;ISSUE_DATE
30,M_RF_SN,結構型商品資料檔,MATURITY_DATE,到期日,到期日,財管商品部,DATE,日期,非PK,,,主數據庫;類別參照;結構型商品資料檔;到期日,fbsods;mdm_sec;MDM_SEC;M_RF_SN;MATURITY_DATE
31,M_RF_SN,結構型商品資料檔,ISSUE_VALUE,發行價格,發行價格,財管商品部,Num,數字,非PK,,,主數據庫;類別參照;結構型商品資料檔;發行價格,fbsods;mdm_sec;MDM_SEC;M_RF_SN;ISSUE_VALUE
32,M_RF_SN,結構型商品資料檔,SN_STATUS_CODE,結構型商品狀態代碼,001 正常 / 002 到期 / 003 停止 / 004 提前到期,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;結構型商品狀態代碼,fbsods;mdm_sec;MDM_SEC;M_RF_SN;SN_STATUS_CODE
33,M_RF_SN,結構型商品資料檔,SN_STATUS_DESC,結構型商品狀態說明,001 正常 / 002 到期 / 003 停止 / 004 提前到期,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;結構型商品狀態說明,fbsods;mdm_sec;MDM_SEC;M_RF_SN;SN_STATUS_DESC
34,M_RF_SN,結構型商品資料檔,KYP_RISK_CODE,商品KYP風險等級,001 S1 / 002 S2 / 003 S3 / 004 S4/ 005 S5,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;商品KYP風險等級,fbsods;mdm_sec;MDM_SEC;M_RF_SN;KYP_RISK_CODE
35,M_RF_SN,結構型商品資料檔,KYP_RISK_DESC,商品KYP風險描述,001 S1 / 002 S2 / 003 S3 / 004 S4/ 005 S5,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;商品KYP風險描述,fbsods;mdm_sec;MDM_SEC;M_RF_SN;KYP_RISK_DESC
36,M_RF_SN,結構型商品資料檔,PROD_STYPE_CODE,商品類別(小),041 ELN / 042 PGN / 043 FCN / 044 DACN / 046 RCN / 047 PRAN / 049 RCW,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;商品類別(小),fbsods;mdm_sec;MDM_SEC;M_RF_SN;PROD_STYPE_CODE
37,M_RF_SN,結構型商品資料檔,PROD_STYPE_DESC,商品類別(小)說明,041 ELN / 042 PGN / 043 FCN / 044 DACN / 046 RCN / 047 PRAN / 049 RCW,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;商品類別(小)說明,fbsods;mdm_sec;MDM_SEC;M_RF_SN;PROD_STYPE_DESC
38,M_RF_SN,結構型商品資料檔,CUST_TRADING_CODE,客戶類型代碼,001 全部人皆可交易 / 002 專業投資人可交易 / 003 專業投資機構可交易 / 004 專業投資人及機構可交易,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;客戶類型代碼,fbsods;mdm_sec;MDM_SEC;M_RF_SN;CUST_TRADING_CODE
39,M_RF_SN,結構型商品資料檔,CUST_TRADING_DESC,客戶類型說明,001 全部人皆可交易 / 002 專業投資人可交易 / 003 專業投資機構可交易 / 004 專業投資人及機構可交易,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;客戶類型說明,fbsods;mdm_sec;MDM_SEC;M_RF_SN;CUST_TRADING_DESC
40,M_RF_SN,結構型商品資料檔,MARKET_TYPE_CODE,交易市場代碼,"用來判斷結構型商品的投資市場，是否有投資國外地區
001 境內 / 002 境外",財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;交易市場代碼,fbsods;mdm_sec;MDM_SEC;M_RF_SN;MARKET_TYPE_CODE
41,M_RF_SN,結構型商品資料檔,MARKET_TYPE_DESC,交易市場說明,"用來判斷結構型商品的投資市場，是否有投資國外地區
001 境內 / 002 境外",財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;交易市場說明,fbsods;mdm_sec;MDM_SEC;M_RF_SN;MARKET_TYPE_DESC
42,M_RF_SN,結構型商品資料檔,TRADE_DATE,交易日,交易日，相關商品為境外結構型,財管商品部,DATE,日期,非PK,,,主數據庫;類別參照;結構型商品資料檔;交易日,fbsods;mdm_sec;MDM_SEC;M_RF_SN;TRADE_DATE
43,M_RF_SN,結構型商品資料檔,DAYS,天期,天期，相關商品為境外結構型、境內結構型_外幣,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;天期,fbsods;mdm_sec;MDM_SEC;M_RF_SN;DAYS
44,M_RF_SN,結構型商品資料檔,FINAL_EVALUATE_DATE,最終評價日,最終評價日，相關商品為境外結構型,財管商品部,DATE,日期,非PK,,,主數據庫;類別參照;結構型商品資料檔;最終評價日,fbsods;mdm_sec;MDM_SEC;M_RF_SN;FINAL_EVALUATE_DATE
45,M_RF_SN,結構型商品資料檔,FACE_RATE,票面利率,票面利率，相關商品為境外結構型、境內結構型_台幣、境內結構型_外幣,財管商品部,Num,數字,非PK,,,主數據庫;類別參照;結構型商品資料檔;票面利率,fbsods;mdm_sec;MDM_SEC;M_RF_SN;FACE_RATE
46,M_RF_SN,結構型商品資料檔,ISSUE_DIV_DATE,計息日,計息日，相關商品為境內結構型_台幣、境內結構型_外幣,財管商品部,DATE,日期,非PK,,,主數據庫;類別參照;結構型商品資料檔;計息日,fbsods;mdm_sec;MDM_SEC;M_RF_SN;ISSUE_DIV_DATE
47,M_RF_SN,結構型商品資料檔,SETTLEMENT_DATE,期末交割日,期末交割日，相關商品為境內結構型_台幣、境內結構型_外幣,財管商品部,DATE,日期,非PK,,,主數據庫;類別參照;結構型商品資料檔;期末交割日,fbsods;mdm_sec;MDM_SEC;M_RF_SN;SETTLEMENT_DATE
48,M_RF_SN,結構型商品資料檔,ISSUE_COST,發行成本,發行成本，相關商品為境內結構型_台幣、境內結構型_外幣,財管商品部,Num,數字,非PK,,,主數據庫;類別參照;結構型商品資料檔;發行成本,fbsods;mdm_sec;MDM_SEC;M_RF_SN;ISSUE_COST
49,M_RF_SN,結構型商品資料檔,PROTACT_RATE,保本率,保本率，相關商品為境內結構型_台幣、境內結構型_外幣,財管商品部,Num,數字,非PK,,,主數據庫;類別參照;結構型商品資料檔;保本率,fbsods;mdm_sec;MDM_SEC;M_RF_SN;PROTACT_RATE
50,M_RF_SN,結構型商品資料檔,PART_RATE,參與率,參與率，相關商品為境內結構型_台幣,財管商品部,Num,數字,非PK,,,主數據庫;類別參照;結構型商品資料檔;參與率,fbsods;mdm_sec;MDM_SEC;M_RF_SN;PART_RATE
51,M_RF_SN,結構型商品資料檔,PROFIT_MARGIN_RATIO,銷售獎金比例,營業員銷售獎金比例，相關商品為境內結構型_台幣、境內結構型_外幣,財管商品部,Num,數字,非PK,,,主數據庫;類別參照;結構型商品資料檔;銷售獎金比例,fbsods;mdm_sec;MDM_SEC;M_RF_SN;PROFIT_MARGIN_RATIO
52,M_RF_SN,結構型商品資料檔,LINK_STOCK1_CODE,連結標的代碼1,連結標的代碼1，相關商品為境外結構型、境內結構型_台幣、境內結構型_外幣,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;連結標的代碼1,fbsods;mdm_sec;MDM_SEC;M_RF_SN;LINK_STOCK1_CODE
53,M_RF_SN,結構型商品資料檔,LINK_STOCK2_CODE,連結標的代碼2,連結標的代碼2，相關商品為境外結構型、境內結構型_台幣、境內結構型_外幣,財管商品部,Varchar,變動字串,非PK,,,主數據庫;類別參照;結構型商品資料檔;連結標的代碼2,fbsods;mdm_sec;MDM_SEC;M_RF_SN;LINK_STOCK2_CODE
