欄位編號,表格名稱,表格中文名稱,欄位名稱,欄位中文名稱,欄位定義說明,資料當責單位,欄位資料型態,欄位類型,Primary Key,KDE關鍵指標,必填/非必填,Business_Group,Technical_Data
17,M_AC_ACCOUNT_PROD_INFO,帳戶商品手續費折讓設定檔,TXN_BRACKETS,級,級,經紀商品部,Varchar,變動字串,PK,,,主數據庫;帳戶主檔;帳戶商品手續費折讓設定檔;級,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_INFO;TXN_BRACKETS
18,M_AC_ACCOUNT_PROD_INFO,帳戶商品手續費折讓設定檔,START_TXN_AMT,起始金額(億),起始金額(億),經紀商品部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶商品手續費折讓設定檔;起始金額(億),fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_INFO;START_TXN_AMT
19,M_AC_ACCOUNT_PROD_INFO,帳戶商品手續費折讓設定檔,END_TXN_AMT,截止金額(億),截止金額(億),經紀商品部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶商品手續費折讓設定檔;截止金額(億),fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_INFO;END_TXN_AMT
20,M_AC_ACCOUNT_PROD_INFO,帳戶商品手續費折讓設定檔,CMSN_FEE,折讓手續費,折讓手續費,經紀商品部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶商品手續費折讓設定檔;折讓手續費,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_INFO;CMSN_FEE
21,M_AC_ACCOUNT_PROD_INFO,帳戶商品手續費折讓設定檔,CMSN_RATE,折數,折數,經紀商品部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶商品手續費折讓設定檔;折數,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_INFO;CMSN_RATE
1,M_AC_ACCOUNT_PROD_TXN,帳戶商品交易日歸戶檔,SNAP_DATE,資料日期,資料更新之日期,財管輔銷部,DATE,日期,PK,,,主數據庫;帳戶主檔;帳戶商品交易日歸戶檔;資料日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_TXN;SNAP_DATE
2,M_AC_ACCOUNT_PROD_TXN,帳戶商品交易日歸戶檔,SNAP_YYYYMM,資料年月(YYYYMM),資料更新之西元年月,財管輔銷部,Varchar,變動字串,PK,,,主數據庫;帳戶主檔;帳戶商品交易日歸戶檔;資料年月(YYYYMM),fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_TXN;SNAP_YYYYMM
3,M_AC_ACCOUNT_PROD_TXN,帳戶商品交易日歸戶檔,ACCT_NBR,客戶帳號,客戶帳號；包含台股、複委託、期貨IB、財管信託、自營帳戶,財管輔銷部,Varchar,變動字串,PK,,,主數據庫;帳戶主檔;帳戶商品交易日歸戶檔;客戶帳號,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_TXN;ACCT_NBR
5,M_AC_ACCOUNT_PROD_TXN,帳戶商品交易日歸戶檔,PARTY_ID,客戶證號,客戶之身份證號/統一編號,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶商品交易日歸戶檔;客戶證號,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_TXN;PARTY_ID
7,M_AC_ACCOUNT_PROD_TXN,帳戶商品交易日歸戶檔,PROD_TYPE_CODE,帳戶類別,100 台股 / 200 複委託 / 300 期貨 / 400 財管信託 / 500 自營 / 600 壽險,財管輔銷部,Varchar,變動字串,PK,,,主數據庫;帳戶主檔;帳戶商品交易日歸戶檔;帳戶類別,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_TXN;PROD_TYPE_CODE
8,M_AC_ACCOUNT_PROD_TXN,帳戶商品交易日歸戶檔,PROD_TYPE_DESC,帳戶類別說明,100 台股 / 200 複委託 / 300 期貨 / 400 財管信託 / 500 自營 / 600 壽險,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶商品交易日歸戶檔;帳戶類別說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_TXN;PROD_TYPE_DESC
9,M_AC_ACCOUNT_PROD_TXN,帳戶商品交易日歸戶檔,PROD_MTYPE_CODE,商品類別,110 一般台股 / 120 集保境內基金 / 150 雙向借券 / 160 不限用途借貸 / 190 借貸款項 / 210 海外股票 / 220 複委託境外基金 / 230 海外債 / 240 境外結構型商品 / 3C0 國內期貨 / 3F0 國外期貨 / 3P0 國內選擇權 / 3S0 國外選擇權 / 420 信託境內外基金 / 540 境內結構型商品 / 6L0 壽險,財管輔銷部,Varchar,變動字串,PK,,,主數據庫;帳戶主檔;帳戶商品交易日歸戶檔;商品類別,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_TXN;PROD_MTYPE_CODE
10,M_AC_ACCOUNT_PROD_TXN,帳戶商品交易日歸戶檔,PROD_MTYPE_DESC,商品類別說明,110 一般台股 / 120 集保境內基金 / 150 雙向借券 / 160 不限用途借貸 / 190 借貸款項 / 210 海外股票 / 220 複委託境外基金 / 230 海外債 / 240 境外結構型商品 / 3C0 國內期貨 / 3F0 國外期貨 / 3P0 國內選擇權 / 3S0 國外選擇權 / 420 信託境內外基金 / 540 境內結構型商品 / 6L0 壽險,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶商品交易日歸戶檔;商品類別說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_TXN;PROD_MTYPE_DESC
11,M_AC_ACCOUNT_PROD_TXN,帳戶商品交易日歸戶檔,TXN_TYPE_CODE,交易類型,101 單筆 / 102 定期定額 / 103 盤中零股 / 104 盤後零股 / 201 債券 / 301 結構型商品 / 401 出借 / 501 借貸 / 601 買權 / 602 賣權 / 603 期貨 / 701 壽險,財管輔銷部,Varchar,變動字串,PK,,,主數據庫;帳戶主檔;帳戶商品交易日歸戶檔;交易類型,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_TXN;TXN_TYPE_CODE
12,M_AC_ACCOUNT_PROD_TXN,帳戶商品交易日歸戶檔,TXN_TYPE_DESC,交易類型說明,101 單筆 / 102 定期定額 / 103 盤中零股 / 104 盤後零股 / 201 債券 / 301 結構型商品 / 401 出借 / 501 借貸 / 601 買權 / 602 賣權 / 603 期貨 / 701 壽險,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶商品交易日歸戶檔;交易類型說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_TXN;TXN_TYPE_DESC
13,M_AC_ACCOUNT_PROD_TXN,帳戶商品交易日歸戶檔,TXN_TYPE_DETAIL_CODE,交易詳細類型,001 現股當沖 / 002 現股 / 005 信用當沖_融資 / 006 信用當沖_融券 / 007 融資 / 008 融券 / 011 基金 / 021 債券 / 031 結構型商品 / 041 借券 / 052 新增 / 053 了結 / 054 展期 / 061 新倉未沖銷 / 062 新倉沖銷 / 064 平倉沖銷 / 065 選擇權 / 071 壽險,財管輔銷部,Varchar,變動字串,PK,,,主數據庫;帳戶主檔;帳戶商品交易日歸戶檔;交易詳細類型,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_TXN;TXN_TYPE_DETAIL_CODE
14,M_AC_ACCOUNT_PROD_TXN,帳戶商品交易日歸戶檔,TXN_TYPE_DETAIL_DESC,交易詳細類型說明,001 現股當沖 / 002 現股 / 005 信用當沖_融資 / 006 信用當沖_融券 / 007 融資 / 008 融券 / 011 基金 / 021 債券 / 031 結構型商品 / 041 借券 / 052 新增 / 053 了結 / 054 展期 / 061 新倉未沖銷 / 062 新倉沖銷 / 064 平倉沖銷 / 065 選擇權 / 071 壽險,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶商品交易日歸戶檔;交易詳細類型說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_TXN;TXN_TYPE_DETAIL_DESC
15,M_AC_ACCOUNT_PROD_TXN,帳戶商品交易日歸戶檔,TXN_CNT,成交次數,當日累計成交次數,財管輔銷部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶商品交易日歸戶檔;成交次數,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_TXN;TXN_CNT
16,M_AC_ACCOUNT_PROD_TXN,帳戶商品交易日歸戶檔,TXN_AMT_TWD,交易金額(台幣),當日交易金額(台幣),財管輔銷部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶商品交易日歸戶檔;交易金額(台幣),fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_TXN;TXN_AMT_TWD
17,M_AC_ACCOUNT_PROD_TXN,帳戶商品交易日歸戶檔,SERVICE_FEE_AMT_TWD,手續費金額(台幣),當日手續費金額(台幣),財管輔銷部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶商品交易日歸戶檔;手續費金額(台幣),fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_TXN;SERVICE_FEE_AMT_TWD
18,M_AC_ACCOUNT_PROD_TXN,帳戶商品交易日歸戶檔,FUTURE_TXN_QTY,期貨交易口數,期貨交易口數,財管輔銷部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶商品交易日歸戶檔;期貨交易口數,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_TXN;FUTURE_TXN_QTY
19,M_AC_ACCOUNT_PROD_TXN,帳戶商品交易日歸戶檔,FUTURE_BUY_TXN_QTY,期貨買進口數,期貨買進口數,財管輔銷部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶商品交易日歸戶檔;期貨買進口數,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_TXN;FUTURE_BUY_TXN_QTY
20,M_AC_ACCOUNT_PROD_TXN,帳戶商品交易日歸戶檔,FUTURE_SELL_TXN_QTY,期貨賣出口數,期貨賣出口數,財管輔銷部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶商品交易日歸戶檔;期貨賣出口數,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_TXN;FUTURE_SELL_TXN_QTY
21,M_AC_ACCOUNT_PROD_TXN,帳戶商品交易日歸戶檔,FUTURE_ACCT_NBR,期貨帳號,期貨IB客戶之期貨帳號,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶商品交易日歸戶檔;期貨帳號,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_TXN;FUTURE_ACCT_NBR
22,M_AC_ACCOUNT_PROD_TXN,帳戶商品交易日歸戶檔,TXN_EC_AMT_TWD,電子交易金額(台幣),當日電子交易金額(台幣),經紀商品部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶商品交易日歸戶檔;電子交易金額(台幣),fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_PROD_TXN;TXN_EC_AMT_TWD
1,M_AC_ACCOUNT_REGIST,帳戶交易簽署主檔,SNAP_DATE,資料日期,資料更新之日期,經紀商品部,DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶交易簽署主檔;資料日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REGIST;SNAP_DATE
2,M_AC_ACCOUNT_REGIST,帳戶交易簽署主檔,SNAP_YYYYMM,資料年月(YYYYMM),資料更新之西元年月,經紀商品部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶交易簽署主檔;資料年月(YYYYMM),fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REGIST;SNAP_YYYYMM
3,M_AC_ACCOUNT_REGIST,帳戶交易簽署主檔,ACCT_NBR,客戶帳號,客戶帳號；僅包含台股帳號,經紀商品部,Varchar,變動字串,PK,,,主數據庫;帳戶主檔;帳戶交易簽署主檔;客戶帳號,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REGIST;ACCT_NBR
5,M_AC_ACCOUNT_REGIST,帳戶交易簽署主檔,PROD_TYPE_CODE,帳戶類別,100 台股,經紀商品部,Varchar,變動字串,PK,,,主數據庫;帳戶主檔;帳戶交易簽署主檔;帳戶類別,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REGIST;PROD_TYPE_CODE
6,M_AC_ACCOUNT_REGIST,帳戶交易簽署主檔,PROD_TYPE_DESC,帳戶類別說明,100 台股,經紀商品部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶交易簽署主檔;帳戶類別說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REGIST;PROD_TYPE_DESC
7,M_AC_ACCOUNT_REGIST,帳戶交易簽署主檔,PROD_MTYPE_CODE,商品類別,110 一般台股 / 150 雙向借券 / 160 不限用途借貸,經紀商品部,Varchar,變動字串,PK,,,主數據庫;帳戶主檔;帳戶交易簽署主檔;商品類別,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REGIST;PROD_MTYPE_CODE
8,M_AC_ACCOUNT_REGIST,帳戶交易簽署主檔,PROD_MTYPE_DESC,商品類別說明,110 一般台股 / 150 雙向借券 / 160 不限用途借貸,經紀商品部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶交易簽署主檔;商品類別說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REGIST;PROD_MTYPE_DESC
9,M_AC_ACCOUNT_REGIST,帳戶交易簽署主檔,REGIST_CODE,簽署類別,110S01 雙向借券_出借 / 110S02 不限用途借貸 / 110S03 台股定期定額,經紀商品部,Varchar,變動字串,PK,,,主數據庫;帳戶主檔;帳戶交易簽署主檔;簽署類別,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REGIST;REGIST_CODE
10,M_AC_ACCOUNT_REGIST,帳戶交易簽署主檔,REGIST_DESC,簽署類別說明,110S01 雙向借券_出借 / 110S02 不限用途借貸 / 110S03 台股定期定額,經紀商品部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶交易簽署主檔;簽署類別說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REGIST;REGIST_DESC
11,M_AC_ACCOUNT_REGIST,帳戶交易簽署主檔,PARTY_ID,客戶證號,客戶之身份證號/統一編號,經紀商品部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶交易簽署主檔;客戶證號,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REGIST;PARTY_ID
13,M_AC_ACCOUNT_REGIST,帳戶交易簽署主檔,SYS_NEW_ACCT_NBR,合併後新客戶帳號,合併後客戶帳號；僅包含台股帳戶,經紀商品部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶交易簽署主檔;合併後新客戶帳號,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REGIST;SYS_NEW_ACCT_NBR
15,M_AC_ACCOUNT_REGIST,帳戶交易簽署主檔,OPEN_DATE,開戶日期,開戶日期,經紀商品部,DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶交易簽署主檔;開戶日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REGIST;OPEN_DATE
16,M_AC_ACCOUNT_REGIST,帳戶交易簽署主檔,CLOSE_DATE,銷戶日期,銷戶日期,經紀商品部,DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶交易簽署主檔;銷戶日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REGIST;CLOSE_DATE
17,M_AC_ACCOUNT_REGIST,帳戶交易簽署主檔,WEB_REGIST_DATE,線上簽署日期,線上簽署日期,經紀商品部,DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶交易簽署主檔;線上簽署日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REGIST;WEB_REGIST_DATE
18,M_AC_ACCOUNT_REGIST,帳戶交易簽署主檔,LAST_TXN_DATE,最後交易往來日期,最後交易往來日期,經紀商品部,DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶交易簽署主檔;最後交易往來日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REGIST;LAST_TXN_DATE
19,M_AC_ACCOUNT_REGIST,帳戶交易簽署主檔,VALID_FLAG,有效戶註記,有效戶註記(Y-有效戶，N-銷戶),經紀商品部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶交易簽署主檔;有效戶註記,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REGIST;VALID_FLAG
1,M_AC_ACCOUNT_REVENUE,帳戶貢獻度月歸戶檔,SNAP_DATE,資料日期,資料更新之日期,財管輔銷部,DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶貢獻度月歸戶檔;資料日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REVENUE;SNAP_DATE
2,M_AC_ACCOUNT_REVENUE,帳戶貢獻度月歸戶檔,SNAP_YYYYMM,資料年月(YYYYMM),資料更新之西元年月,財管輔銷部,Varchar,變動字串,PK,,,主數據庫;帳戶主檔;帳戶貢獻度月歸戶檔;資料年月(YYYYMM),fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REVENUE;SNAP_YYYYMM
3,M_AC_ACCOUNT_REVENUE,帳戶貢獻度月歸戶檔,ACCT_NBR,客戶帳號,客戶帳號,財管輔銷部,Varchar,變動字串,PK,,,主數據庫;帳戶主檔;帳戶貢獻度月歸戶檔;客戶帳號,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REVENUE;ACCT_NBR
5,M_AC_ACCOUNT_REVENUE,帳戶貢獻度月歸戶檔,PARTY_ID,客戶證號,客戶之身份證號/統一編號,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶貢獻度月歸戶檔;客戶證號,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REVENUE;PARTY_ID
7,M_AC_ACCOUNT_REVENUE,帳戶貢獻度月歸戶檔,PROD_TYPE_CODE,帳戶類別,100 台股 / 200 複委託 / 300 期貨 / 400 財管信託 / 500 自營 / 600 壽險,財管輔銷部,Varchar,變動字串,PK,,,主數據庫;帳戶主檔;帳戶貢獻度月歸戶檔;帳戶類別,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REVENUE;PROD_TYPE_CODE
8,M_AC_ACCOUNT_REVENUE,帳戶貢獻度月歸戶檔,PROD_TYPE_DESC,帳戶類別說明,100 台股 / 200 複委託 / 300 期貨 / 400 財管信託 / 500 自營 / 600 壽險,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶貢獻度月歸戶檔;帳戶類別說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REVENUE;PROD_TYPE_DESC
9,M_AC_ACCOUNT_REVENUE,帳戶貢獻度月歸戶檔,PROD_MTYPE_CODE,商品類別,110 一般台股 / 120 集保境內基金 / 150 雙向借券 / 160 不限用途借貸 / 180 承銷申購 / 210 海外股票 / 220 複委託境外基金 / 230 海外債 / 240 境外結構型商品 / 3C0 國內期貨 / 3F0 國外期貨 / 3P0 國內選擇權 / 3S0 國外選擇權 / 420 信託境內外基金 / 540 境內結構型商品 / 6L0 壽險 / Z2Z 基金 / Z3Z 海外債 / Z4Z 境外結構型商品 / ZLZ 壽險,財管輔銷部,Varchar,變動字串,PK,,,主數據庫;帳戶主檔;帳戶貢獻度月歸戶檔;商品類別,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REVENUE;PROD_MTYPE_CODE
10,M_AC_ACCOUNT_REVENUE,帳戶貢獻度月歸戶檔,PROD_MTYPE_DESC,商品類別說明,110 一般台股 / 120 集保境內基金 / 150 雙向借券 / 160 不限用途借貸 / 180 承銷申購 / 210 海外股票 / 220 複委託境外基金 / 230 海外債 / 240 境外結構型商品 / 3C0 國內期貨 / 3F0 國外期貨 / 3P0 國內選擇權 / 3S0 國外選擇權 / 420 信託境內外基金 / 540 境內結構型商品 / 6L0 壽險 / Z2Z 基金 / Z3Z 海外債 / Z4Z 境外結構型商品 / ZLZ 壽險,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶貢獻度月歸戶檔;商品類別說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REVENUE;PROD_MTYPE_DESC
11,M_AC_ACCOUNT_REVENUE,帳戶貢獻度月歸戶檔,REV_CODE,貢獻度項目代碼,111R01 上市櫃現貨淨手收 / 111R02 興櫃現貨淨手收 / 112R01 融資利息收入 / 113R01 融券淨手收 / 121R01 集保基金交易手收 / 151R01 雙向借券服務費 / 161R01 不限用途淨手收 / 181R01 承銷申購處理費 / 211R01 海外股票手收 / 221R01 境外基金交易淨手收 / 231R01 海外債手收 / 241R01 境外結構型服務費 / 3C1R01 國內期貨淨手收 / 3F1R01 海外期貨淨手收 / 3P1R01 國內選擇權淨手收 / 3S1R01 海外選擇權淨手收 / 421R01 信託基金淨手收 / 421R02 信託後收交易手收 / 541R01 境內結構型服務費 / 6L1R01 壽險大小公收入 / 6L1R02 壽險大公收入 / 6L1R03 壽險小公收入 / Z2ZR01 銀證專案_基金手收 / Z3ZR01 銀證專案_海外債手收 / Z4ZR01 銀證專案_境外結構型手收 / ZLZR01 銀證專案_保險手收,財管輔銷部,Varchar,變動字串,PK,,,主數據庫;帳戶主檔;帳戶貢獻度月歸戶檔;貢獻度項目代碼,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REVENUE;REV_CODE
12,M_AC_ACCOUNT_REVENUE,帳戶貢獻度月歸戶檔,REV_DESC,貢獻度項目代碼說明,111R01 上市櫃現貨淨手收 / 111R02 興櫃現貨淨手收 / 112R01 融資利息收入 / 113R01 融券淨手收 / 121R01 集保基金交易手收 / 151R01 雙向借券服務費 / 161R01 不限用途淨手收 / 181R01 承銷申購處理費 / 211R01 海外股票手收 / 221R01 境外基金交易淨手收 / 231R01 海外債手收 / 241R01 境外結構型服務費 / 3C1R01 國內期貨淨手收 / 3F1R01 海外期貨淨手收 / 3P1R01 國內選擇權淨手收 / 3S1R01 海外選擇權淨手收 / 421R01 信託基金淨手收 / 421R02 信託後收交易手收 / 541R01 境內結構型服務費 / 6L1R01 壽險大小公收入 / 6L1R02 壽險大公收入 / 6L1R03 壽險小公收入 / Z2ZR01 銀證專案_基金手收 / Z3ZR01 銀證專案_海外債手收 / Z4ZR01 銀證專案_境外結構型手收 / ZLZR01 銀證專案_保險手收,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶貢獻度月歸戶檔;貢獻度項目代碼說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REVENUE;REV_DESC
13,M_AC_ACCOUNT_REVENUE,帳戶貢獻度月歸戶檔,FUTURE_ACCT_NBR,期貨帳號,期貨IB客戶之期貨帳號,財管輔銷部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶貢獻度月歸戶檔;期貨帳號,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REVENUE;FUTURE_ACCT_NBR
14,M_AC_ACCOUNT_REVENUE,帳戶貢獻度月歸戶檔,REV_AMT_TWD,毛收入金額(台幣),「現金基礎」的收入；計算收益時，以「實際現金之收付」作為依據,財管輔銷部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶貢獻度月歸戶檔;毛收入金額(台幣),fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_REVENUE;REV_AMT_TWD
1,M_AC_ACCOUNT_SEGMENT,帳戶客群月檔,SNAP_DATE,資料日期,資料更新之日期,"財管商品部,經紀商品部",DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶客群月檔;資料日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_SEGMENT;SNAP_DATE
2,M_AC_ACCOUNT_SEGMENT,帳戶客群月檔,SNAP_YYYYMM,資料年月(YYYYMM),資料更新之西元年月,"財管商品部,經紀商品部",Varchar,變動字串,PK,,,主數據庫;帳戶主檔;帳戶客群月檔;資料年月(YYYYMM),fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_SEGMENT;SNAP_YYYYMM
3,M_AC_ACCOUNT_SEGMENT,帳戶客群月檔,ACCT_NBR,客戶帳號,客戶帳號,"財管商品部,經紀商品部",Varchar,變動字串,PK,,,主數據庫;帳戶主檔;帳戶客群月檔;客戶帳號,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_SEGMENT;ACCT_NBR
5,M_AC_ACCOUNT_SEGMENT,帳戶客群月檔,PARTY_ID,客戶證號,客戶之身份證號/統一編號,"財管商品部,經紀商品部",Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶客群月檔;客戶證號,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_SEGMENT;PARTY_ID
7,M_AC_ACCOUNT_SEGMENT,帳戶客群月檔,PROD_TYPE_CODE,帳戶類別,100 台股 / 200 複委託 / 300 期貨 / 400 財管信託 / 500 自營 / 600 壽險,"財管商品部,經紀商品部",Varchar,變動字串,PK,,,主數據庫;帳戶主檔;帳戶客群月檔;帳戶類別,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_SEGMENT;PROD_TYPE_CODE
8,M_AC_ACCOUNT_SEGMENT,帳戶客群月檔,PROD_TYPE_DESC,帳戶類別說明,100 台股 / 200 複委託 / 300 期貨 / 400 財管信託 / 500 自營 / 600 壽險,"財管商品部,經紀商品部",Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶客群月檔;帳戶類別說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_SEGMENT;PROD_TYPE_DESC
9,M_AC_ACCOUNT_SEGMENT,帳戶客群月檔,BRANCH_CODE,分公司代碼,分公司代碼,"財管商品部,經紀商品部",Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶客群月檔;分公司代碼,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_SEGMENT;BRANCH_CODE
10,M_AC_ACCOUNT_SEGMENT,帳戶客群月檔,BRANCH_NAME,分公司名稱,分公司名稱,"財管商品部,經紀商品部",Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶客群月檔;分公司名稱,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_SEGMENT;BRANCH_NAME
11,M_AC_ACCOUNT_SEGMENT,帳戶客群月檔,TP_SEGMENT_NAME,潛在經紀客群_ID,潛在A大戶 / 潛在B中實戶 / 潛在C活躍客群,"財管商品部,經紀商品部",Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶客群月檔;潛在經紀客群_ID,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_SEGMENT;TP_SEGMENT_NAME
12,M_AC_ACCOUNT_SEGMENT,帳戶客群月檔,T_SEGMENT_NAME,現況經紀客群_ID,"A. 大戶：5億以上 / B. 中實戶：1億-5億 / C. 活躍客群：3,000萬-1億 /D1. 一般客群D1：1,000萬-3,000萬 / D2. 一般客群D2：1,000萬以下 / E. 內法機構法人 / F. 外法機構法人 / G. 其他","財管商品部,經紀商品部",Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶客群月檔;現況經紀客群_ID,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_SEGMENT;T_SEGMENT_NAME
13,M_AC_ACCOUNT_SEGMENT,帳戶客群月檔,AC_TP_SEGMENT_NAME,潛在經紀客群_帳號,潛在A大戶 / 潛在B中實戶 / 潛在C活躍客群,"財管商品部,經紀商品部",Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶客群月檔;潛在經紀客群_帳號,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT_SEGMENT;AC_TP_SEGMENT_NAME
